ID	Condition	Trial	TrialPosition	LookingTime	SaccLatency	pred	notpred
19	Soc	5	9	3233.333333	1275	0	1
19	Soc	6	12	2783.333333	1233.333333	0	1
19	Soc	7	13	2641.666667	1225	0	1
19	Soc	8	15	2450	1266.666667	0	1
19	Soc	9	17	2408.333333	1350	0	1
19	Soc	10	19	3041.666667	1475	0	1
19	Soc	11	22	2225	1225	0	1
19	Soc	12	23	3725	716.6666667	1	0
19	Con	1	2	3200	1250	0	1
19	Con	2	4	125	1200	1	0
19	Con	3	5	1825	783.3333333	1	0
19	Con	4	8	3341.666667	1266.666667	0	1
19	Con	5	10	3400	1225	0	1
19	Con	6	11	3325	1183.333333	1	0
19	Con	7	14	2075	783.3333333	1	0
19	Con	8	16	3525	775	1	0
19	Con	9	18	2766.666667	1241.666667	0	1
19	Con	10	20	3391.666667	1208.333333	0	1
19	Con	11	21	3183.333333	1083.333333	1	0
19	Con	12	24	3683.333333	833.3333333	1	0
20	Soc	1	1	3108.333333	841.6666667	1	0
20	Soc	2	4	2975	758.3333333	1	0
20	Soc	3	6	3416.666667	1216.666667	0	1
20	Soc	4	7	3916.666667	725	1	0
20	Soc	5	9	3725	683.3333333	1	0
20	Soc	6	11	3325	825	1	0
20	Soc	7	14	3116.666667	1233.333333	0	1
20	Soc	8	15	3866.666667	808.3333333	1	0
20	Soc	9	18	3066.666667	1200	1	0
20	Soc	10	20	2666.666667	1241.666667	0	1
20	Soc	11	22	1725	1250	0	1
20	Soc	12	23	2550	1258.333333	0	1
20	Con	1	2	3050	1250	0	1
20	Con	2	3	2991.666667	1191.666667	1	0
20	Con	3	5	2891.666667	1266.666667	0	1
20	Con	4	8	2466.666667	1358.333333	0	1
20	Con	5	10	3258.333333	1375	0	1
20	Con	6	12	3058.333333	1225	0	1
20	Con	7	13	3200	1266.666667	0	1
20	Con	8	16	1833.333333	1258.333333	0	1
20	Con	9	17	3050	1266.666667	0	1
20	Con	10	19	2375	1341.666667	0	1
20	Con	11	21	3091.666667	1225	0	1
20	Con	12	24	2850	1241.666667	0	1
21	Soc	1	2	2841.666667	1250	0	1
21	Soc	2	4	1808.333333	8.333333333	NA	NA
21	Soc	3	5	2158.333333	550	1	0
21	Soc	4	7	2866.666667	500	1	0
21	Soc	5	9	2741.666667	600	1	0
21	Soc	6	12	2891.666667	500	1	0
21	Soc	7	13	NA	NA	NA	NA
21	Soc	8	15	1566.666667	25	1	0
21	Soc	9	18	2575	1225	0	1
21	Soc	10	19	2591.666667	833.3333333	1	0
21	Soc	11	21	1650	483.3333333	1	0
21	Soc	12	23	2433.333333	491.6666667	1	0
21	Con	1	1	2016.666667	1408.333333	0	1
21	Con	2	3	2975	1375	0	1
21	Con	3	6	2683.333333	1716.666667	0	1
21	Con	4	8	2283.333333	1241.666667	0	1
21	Con	5	10	1583.333333	1600	0	1
21	Con	6	11	2100	1350	0	1
21	Con	7	14	NA	NA	NA	NA
21	Con	8	16	1958.333333	1925	0	1
21	Con	9	17	1308.333333	1450	0	1
21	Con	10	20	2641.666667	1208.333333	0	1
21	Con	11	22	2133.333333	1400	0	1
21	Con	12	24	2775	1641.666667	0	1
22	Soc	1	2	3016.666667	1300	0	1
22	Soc	2	3	3391.666667	1308.333333	0	1
22	Soc	3	6	3108.333333	1241.666667	0	1
22	Soc	4	7	3341.666667	1300	0	1
22	Soc	5	10	1891.666667	1341.666667	0	1
22	Soc	6	12	1550	1241.666667	0	1
22	Soc	7	14	241.6666667	1400	0	1
22	Soc	8	16	1466.666667	1350	0	1
22	Soc	9	18	2175	1375	0	1
22	Soc	10	20	800	1350	0	1
22	Soc	11	21	3950	750	1	0
22	Soc	12	24	491.6666667	1500	0	1
22	Con	1	1	1716.666667	1325	0	1
22	Con	2	4	2116.666667	1241.666667	0	1
22	Con	3	5	2308.333333	1283.333333	0	1
22	Con	4	8	1066.666667	1250	0	1
22	Con	5	9	2500	1316.666667	0	1
22	Con	6	11	2566.666667	1350	0	1
22	Con	7	13	2666.666667	1191.666667	1	0
22	Con	8	15	3541.666667	1250	0	1
22	Con	9	17	2775	1300	0	1
22	Con	10	19	3400	1400	0	1
22	Con	11	22	3300	1408.333333	0	1
22	Con	12	23	3208.333333	1200	1	0
23	Soc	1	2	3516.666667	1241.666667	0	1
23	Soc	2	4	1941.666667	1308.333333	0	1
23	Soc	3	5	NA	NA	NA	NA
23	Soc	4	8	3491.666667	1200	1	0
23	Soc	5	9	3375	1391.666667	0	1
23	Soc	6	12	1550	1441.666667	0	1
23	Soc	7	14	3350	1316.666667	0	1
23	Soc	8	16	3583.333333	1175	1	0
